|Instruction |Addressing Mode  |Opcode |Flags         |
|---         |---              |---    |---           |
|ADC #$NN    |Immediate        |$69    |CZ- - - VN    |
|ADC $NNNN   |Absolute         |$6d    |CZ- - - VN    |
|ADC $NNNN,X |Absolute,X       |$7d    |CZ- - - VN    |
|ADC $NNNN,Y |Absolute,Y       |$79    |CZ- - - VN    |
|ADC $NN     |Zero Page        |$65    |CZ- - - VN    |
|ADC $NN,X   |Zero Page,X      |$75    |CZ- - - VN    |
|ADC ($NN,X) |Indexed Indirect |$61    |CZ- - - VN    |
|ADC ($NN),Y |Indirect Indexed |$71    |CZ- - - VN    |
|AND #$NN    |Immediate        |$29    |- Z- - - - N  |
|AND $NNNN   |Absolute         |$2d    |- Z- - - - N  |
|AND $NNNN,X |Absolute,X       |$3d    |- Z- - - - N  |
|AND $NNNN,Y |Absolute,Y       |$39    |- Z- - - - N  |
|AND $NN     |Zero Page        |$25    |- Z- - - - N  |
|AND $NN,X   |Zero Page,X      |$35    |- Z- - - - N  |
|AND ($NN,X) |Indexed Indirect |$21    |- Z- - - - N  |
|AND ($NN),Y |Indirect Indexed |$31    |- Z- - - - N  |
|ASL A       |Accumulator      |$0a    |CZ- - - - N   |
|ASL $NNNN   |Absolute         |$0e    |CZ- - - - N   |
|ASL $NNNN,X |Absolute,X       |$1e    |CZ- - - - N   |
|ASL $NN     |Zero Page        |$06    |CZ- - - - N   |
|ASL $NN,X   |Zero Page,X      |$16    |CZ- - - - N   |
|BCC $NN     |Relative         |$90    |- - - - - - - |
|BCS $NN     |Relative         |$b0    |- - - - - - - |
|BEQ $NN     |Relative         |$f0    |- - - - - - - |
|BIT $NNNN   |Absolute         |$2c    |- Z- - - VN   |
|BIT $NN     |Zero Page        |$24    |- Z- - - VN   |
|BMI $NN     |Relative         |$30    |- - - - - - - |
|BNE $NN     |Relative         |$d0    |- - - - - - - |
|BPL $NN     |Relative         |$10    |- - - - - - - |
|BRK         |Implied          |$00    |- - - - - - - |
|BVC $NN     |Relative         |$50    |- - - - - - - |
|BVS $NN     |Relative         |$70    |- - - - - - - |
|CLC         |Implied          |$18    |C- - - - - -  |
|CLD         |Implied          |$d8    |- - - D- - -  |
|CLI         |Implied          |$58    |- - I- - - -  |
